Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Monthly,Weekly,Rarely,Rarely,Cashbacks on transaction amounts;Special discounts on partner merchant stores,Cash,Slightly Important,Important,Moderately Important,Important,Moderately Important,Important,Slightly Important,Moderately Important,Moderately Important,No,Technical Glitches;Transaction Failures,Moderately Declined,No Change,Moderately Increased,No Change,Moderately Increased,Significantly Increased,No Change,Yes,Frequently,4,9
22,Female,Student,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Daily,Never,Monthly,Weekly,Rarely,Never,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Important,Moderately Important,Very Important,Important,Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Moderately Increased,Significantly Increased,No,Frequently,4,9
22,Female,Student,"Below ₹20,000",Urban,Yes,,Weekly,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Never,Never,Monthly,Rarely,Monthly,Never,Monthly,Never,Discounts on bills and recharges,Cash,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Important,Very Important,No,Transaction Failures;Lack of Awareness,Significantly Increased,Moderately Increased,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,Yes,Frequently,5,9
22,Male,Student,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Never,Monthly,Rarely,Never,Never,Monthly,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Not Important,Very Important,Slightly Important,Very Important,Important,No,Transaction Failures,Moderately Declined,Significantly Increased,No Change,Moderately Declined,Moderately Declined,No Change,Moderately Increased,Yes,Occasionally,4,8
21,Male,Student,"₹50,000 - ₹1,00,000",Urban,No,Family doesn't allow me to use right now ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female,Student,"Below ₹20,000",Urban,Yes,,Monthly,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Never,Rarely,Monthly,Weekly,Never,Monthly,Never,Never,Discounts on bills and recharges;Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Lack of Awareness,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Significantly Increased,Significantly Increased,Significantly Increased,No,Frequently,5,10
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Paytm,Google Pay,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Rarely,Rarely,Monthly,Rarely,Weekly,Never,Never,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Very Important,Not Important,Moderately Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,No Change,Moderately Declined,No,Rarely,4,9
35,Male,Business Owner,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,BHIM UPI,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Never,Never,Daily,Never,Never,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Important,Yes,Lack of Awareness,Significantly  Declined,Significantly Increased,Significantly Increased,Moderately Increased,Significantly  Declined,Significantly Increased,Moderately Increased,Yes,Frequently,4,10
33,Female,Other,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Never,Monthly,Weekly,Never,Never,Weekly,Never,Never,Discounts on bills and recharges,Cash,Important,Very Important,Important,Important,Important,Important,Important,Important,Important,No,Transaction Failures,Significantly  Declined,Moderately Increased,Significantly Increased,Moderately Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,4,5
47,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Rarely,Other,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Never,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Important,Important,Important,Important,Important,Important,Important,Important,Important,No,Other,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No,Occasionally,3,4
